,cloanto-net-1,"Cloanto\ Net\ 1",356,N
,bhevent,bhevent,357,N
,bhevent,bhevent,357,N
,shrinkwrap,Shrinkwrap,358,N
,shrinkwrap,Shrinkwrap,358,N
,nsrmp,"Network\ Security\ Risk\ Management\ Protocol",359,N
,nsrmp,"Network\ Security\ Risk\ Management\ Protocol",359,N
,scoi2odialog,scoi2odialog,360,N
,scoi2odialog,scoi2odialog,360,N
,semantix,Semantix,361,N
,semantix,Semantix,361,N
,srssend,"SRS\ Send",362,N
,srssend,"SRS\ Send",362,N
,rsvp_tunnel,"RSVP\ Tunnel",363,N
,rsvp_tunnel,"RSVP\ Tunnel",363,N
,aurora-cmgr,"Aurora\ CMGR",364,N
,aurora-cmgr,"Aurora\ CMGR",364,N
,dtk,DTK,365,N
,dtk,DTK,365,N
,odmr,ODMR,366,N
,odmr,ODMR,366,N
,mortgageware,MortgageWare,367,N
,mortgageware,MortgageWare,367,N
,qbikgdp,QbikGDP,368,N
,qbikgdp,QbikGDP,368,N
,rpc2portmap,rpc2portmap,369,N
,rpc2portmap,rpc2portmap,369,N
,codaauth2,codaauth2,370,N
,codaauth2,codaauth2,370,N
,clearcase,Clearcase,371,N
,clearcase,Clearcase,371,N
,ulistproc,ListProcessor,372,N
,ulistproc,ListProcessor,372,N
,legent-1,"Legent\ Corporation",373,N
,legent-1,"Legent\ Corporation",373,N
,legent-2,"Legent\ Corporation",374,N
,legent-2,"Legent\ Corporation",374,N
,hassle,Hassle,375,N
,hassle,Hassle,375,N
,nip,"Amiga\ Envoy\ Network\ Inquiry\ Proto",376,N
,nip,"Amiga\ Envoy\ Network\ Inquiry\ Proto",376,N
,tnETOS,"NEC\ Corporation",377,N
,tnETOS,"NEC\ Corporation",377,N
,dsETOS,"NEC\ Corporation",378,N
,dsETOS,"NEC\ Corporation",378,N
,is99c,"TIAEIAIS\-99\ modem\ client",379,N
,is99c,"TIAEIAIS\-99\ modem\ client",379,N
,is99s,"TIAEIAIS\-99\ modem\ server",380,N
,is99s,"TIAEIAIS\-99\ modem\ server",380,N
,hp-collector,"hp\ performance\ data\ collector",381,N
,hp-collector,"hp\ performance\ data\ collector",381,N
,hp-managed-node,"hp\ performance\ data\ managed\ node",382,N
,hp-managed-node,"hp\ performance\ data\ managed\ node",382,N
,hp-alarm-mgr,"hp\ performance\ data\ alarm\ manager",383,N
,hp-alarm-mgr,"hp\ performance\ data\ alarm\ manager",383,N
,arns,"A\ Remote\ Network\ Server\ System",384,N
,arns,"A\ Remote\ Network\ Server\ System",384,N
,ibm-app,"IBM\ Application",385,N
,ibm-app,"IBM\ Application",385,N
,asa,"ASA\ Message\ Router\ Object\ Def",386,N
,asa,"ASA\ Message\ Router\ Object\ Def",386,N
,aurp,"Appletalk\ Update\-Based\ Routing\ Pro",387,N
,aurp,"Appletalk\ Update\-Based\ Routing\ Pro",387,N
,unidata-ldm,"Unidata\ LDM",388,N
,unidata-ldm,"Unidata\ LDM",388,N
,ldap,"Lightweight\ Directory\ Access\ Protocol",389,N
,ldap,"Lightweight\ Directory\ Access\ Protocol",389,N
,uis,UIS,390,N
,uis,UIS,390,N
,synotics-relay,"SynOptics\ SNMP\ Relay\ Port",391,N
,synotics-relay,"SynOptics\ SNMP\ Relay\ Port",391,N
,synotics-broker,"SynOptics\ Port\ Broker\ Port",392,N
,synotics-broker,"SynOptics\ Port\ Broker\ Port",392,N
,meta5,Meta5,393,N
,meta5,Meta5,393,N
,embl-ndt,"EMBL\ Nucleic\ Data\ Transfer",394,N
,embl-ndt,"EMBL\ Nucleic\ Data\ Transfer",394,N
,netcp,"NETscout\ Control\ Protocol",395,N
